Legislative District,Total Population 2010,Population of One Race 2010,White Alone 2010,Black or African American Alone 2010,American Indian and Alaska Native Alone 2010,Asian Alone 2010,Native Hawaiian and Other Pacific Islander Alone 2010,Some Other Race Alone 2010,Population of Two or More Races 2010,Hispanic or Latino (of Any Race) 2010,Not Hispanic or Latino 2010,Population of One Race Not Hispanic or Latino 2010,White Alone Not Hispanic or Latino 2010,Black or African American Alone Not Hispanic or Latino 2010,American Indian and Alaska Native Alone Not Hispanic or Latino 2010,Asian Alone Not Hispanic or Latino 2010,Native Hawaiian and Other Pacific Islander Alone Not Hispanic or Latino 2010,Some Other Race Alone Not Hispanic or Latino 2010,Population of Two or More Races Not Hispanic or Latino 2010,Total Population Over 18 2010,Population of One Race Over 18 2010,White Alone Over 18 2010,Black or African American Alone Over 18 2010,American Indian and Alaska Native Alone Over 18 2010,Asian Alone Over 18 2010,Native Hawaiian and Other Pacific Islander Alone Over 18 2010,Some Other Race Alone Over 18 2010,Population of Two or More Races Over 18 2010,Hispanic or Latino (of Any Race) Over 18 2010,Not Hispanic or Latino Over 18 2010,Population of One Race Not Hispanic or Latino Over 18 2010,White Alone Not Hispanic or Latino Over 18 2010,Black or African American Alone Not Hispanic or Latino Over 18 2010,American Indian and Alaska Native Alone Not Hispanic or Latino Over 18 2010,Asian Alone Not Hispanic or Latino Over 18 2010,Native Hawaiian and Other Pacific Islander Alone Not Hispanic or Latino Over 18 2010,Some Other Race Alone Not Hispanic or Latino Over 18 2010,Population of Two or More Races Not Hispanic or Latino Over 18 2010
Washington State,6724540,6411614,5196362,240042,103869,481067,40475,349799,312926,755790,5968750,5721397,4876804,229603,88735,475634,38783,11838,247353,5143186,4984202,4113056,174258,73523,377550,27608,218207,158984,456355,4686831,4557277,3916304,168177,64574,373973,26642,7607,129554
41,137250,131751,95315,2559,402,30936,269,2270,5499,6299,130951,126046,91796,2462,332,30841,257,358,4905,103841,101467,74517,1915,308,22978,213,1536,2374,4160,99681,97569,72136,1856,262,22910,201,204,2112
42,137231,132278,115238,1195,5107,4798,367,5573,4953,12617,124614,120791,109817,1082,4562,4744,347,239,3823,105598,102971,91039,830,3546,3760,267,3529,2627,7495,98103,95956,87798,771,3233,3726,259,169,2147
43,137252,130568,107212,4961,860,15187,290,2058,6684,7141,130111,124282,103055,4808,720,15057,281,361,5829,125489,120211,98479,4371,806,14417,280,1858,5278,6376,119113,114525,94736,4243,684,14301,272,289,4588
44,137246,130960,112605,2308,1070,11220,456,3301,6286,9475,127771,122544,107691,2183,886,11099,428,257,5227,99736,97003,83945,1571,747,8339,313,2088,2733,5476,94260,91929,81067,1514,646,8262,297,143,2331
45,137281,131746,108934,1660,527,17449,206,2970,5535,8199,129082,124273,104203,1583,418,17364,187,518,4809,101962,99439,83039,1267,398,12552,154,2029,2523,5316,96646,94492,79983,1214,331,12492,144,328,2154
46,137253,130143,104001,5446,934,16449,414,2899,7110,8254,128999,122865,99770,5270,725,16325,396,379,6134,110434,106600,85678,4053,721,13723,322,2103,3834,5710,104724,101399,82679,3952,594,13629,311,234,3325
47,137210,129356,90810,9587,1103,19594,1637,6625,7854,14346,122864,116736,85232,9278,888,19427,1604,307,6128,100661,97013,70282,6243,795,14418,1093,4182,3648,8590,92071,89185,66875,6076,675,14308,1075,176,2886
48,137226,131876,91704,2784,543,32355,261,4229,5350,10084,127142,122638,86524,2674,406,32278,255,501,4504,108390,105680,74730,2094,387,25380,199,2890,2710,6873,101517,99273,71138,2026,295,25320,194,300,2244
49,137244,130981,113137,3995,1370,4707,1142,6630,6263,14633,122611,117763,107019,3787,1046,4643,1087,181,4848,105680,102570,90255,2810,1033,3721,730,4021,3110,8567,97113,94577,86532,2705,821,3682,702,135,2536
01,137236,131296,108239,2426,865,15785,417,3564,5940,9510,127726,122694,103353,2303,686,15650,396,306,5032,104689,101777,84703,1805,640,11906,326,2397,2912,5985,98704,96205,81598,1737,530,11825,314,201,2499
02,137202,128388,110085,4987,2254,5768,1532,3762,8814,10840,126362,119146,105089,4741,1960,5620,1460,276,7216,99660,95672,82811,3501,1531,4449,1036,2344,3988,6102,93558,90163,79905,3364,1366,4367,1002,159,3395
03,137226,130219,116887,3756,3294,3436,810,2036,7007,7424,129802,123969,113121,3597,2900,3373,773,205,5833,106807,103289,93817,2649,2276,2693,502,1352,3518,4549,102258,99258,91382,2565,2059,2646,478,128,3000
04,137281,133089,126031,1273,1485,2366,298,1636,4192,5559,131722,128267,122965,1214,1318,2338,288,144,3455,103399,101433,96451,873,1046,1807,195,1061,1966,3244,100155,98478,94629,839,944,1784,190,92,1677
05,137210,131843,116500,1567,865,10306,275,2330,5367,7159,130051,125523,112507,1511,793,10226,268,218,4528,100347,97991,87195,1061,627,7424,208,1476,2356,4224,96123,94114,84791,1031,586,7371,205,130,2009
06,137198,132199,121721,2681,1840,3479,694,1784,4999,6555,130643,126431,117962,2568,1645,3426,663,167,4212,106701,104147,96156,2111,1349,2785,446,1300,2554,4280,102421,100196,93650,2031,1227,2748,431,109,2225
07,137263,132763,121820,647,6208,1143,199,2746,4500,6577,130686,126921,118963,611,5831,1116,186,214,3765,104673,102214,94851,437,4234,858,126,1708,2459,3813,100860,98692,93164,417,4020,840,117,134,2168
08,137202,132024,113603,2047,1200,4323,223,10628,5178,22747,114455,111389,103852,1897,978,4267,193,202,3066,100500,98038,86031,1369,854,3324,145,6315,2462,12912,87588,85993,80451,1299,714,3286,132,111,1595
09,137223,132848,111742,1745,1362,4901,210,12888,4375,27196,110027,107139,99450,1588,931,4824,201,145,2888,103693,101172,86897,1331,971,4093,177,7703,2521,15918,87775,85962,79714,1232,703,4046,170,97,1813
